#############################################################################
6.380E-02 ###   Fri, 02 Jul 2021 16:33:44 +0000
#############################################################################

####TIME#############LOG#####################################################
1.291E-01 ###   Script: /cloud/Code/python/eampa/eampa.py
1.949E-01 ###   Loaded: input.in
#############################################
  Read Input
  Time: 2.008E-01
#############################################
2.070E-01 ###   fit
2.135E-01 ###   a0: 5.0
2.135E-01 ###   b0: 1.0
2.135E-01 ###   bp: 100.0
2.135E-01 ###   config: 0.0001
2.135E-01 ###   e: 1.0
2.135E-01 ###   e0: 25.0
2.135E-01 ###   ec: 1.0
2.135E-01 ###   energy: 20.0
2.135E-01 ###   force: 1.0
2.135E-01 ###   g: 1.0
2.135E-01 ###   negec: 1000.0
2.135E-01 ###   stress: 1.0
2.135E-01 ###   v: 1.0
2.135E-01 ###   
2.352E-01 ###   max: 100.0
2.352E-01 ###   min: 0.1
2.352E-01 ###   scale_exponent: 4.0
2.352E-01 ###   scale_factor: 10.0
2.352E-01 ###   zero_density_factor: 100000000.0
2.352E-01 ###   
2.421E-01 ###   pot_dir: None
2.421E-01 ###   pot_name: None
2.421E-01 ###   results_dir: results
2.421E-01 ###   
2.487E-01 ###   bp_file: bp.dat
2.487E-01 ###   dir: bp
2.487E-01 ###   ec_size: 6
2.487E-01 ###   ec_strain: 0.05
2.487E-01 ###   eos_size: 6
2.487E-01 ###   eos_strain: 0.1
2.487E-01 ###   
2.858E-01 ###   
2.910E-01 ###   1: {'label_id': 1, 'label_text': 'AL', 'atom_count': 32, 'relaxed_energy': -1264.06398979, 'relaxed_energy_unit': 'Ry', 'coh_energy': -3.36, 'coh_energy_unit': 'eV', 'calc_relaxed_dft_ev': -537.454181036, 'calc_coh_ev': -3.36, 'calc_apaev': 534.094181036}
2.910E-01 ###   2: {'label_id': 2, 'label_text': 'FE', 'atom_count': 16, 'relaxed_energy': -5268.188, 'relaxed_energy_unit': 'Ry', 'coh_energy': -4.316, 'coh_energy_unit': 'eV', 'calc_relaxed_dft_ev': -4479.851795407, 'calc_coh_ev': -4.316, 'calc_apaev': 4475.5357954070005}
2.910E-01 ###   3: {'label_id': 3, 'label_text': 'PD', 'atom_count': 32, 'relaxed_energy': -16384.958, 'relaxed_energy_unit': 'Ry', 'coh_energy': -3.91, 'coh_energy_unit': 'eV', 'calc_relaxed_dft_ev': -6966.549363269, 'calc_coh_ev': -3.91, 'calc_apaev': 6962.639363269001}
2.910E-01 ###   
#############################################
  Setup Directories
  Time: 2.969E-01
#############################################
3.230E-01 ###   WD: wd/wd
#############################################
  Memory
  Time: 3.328E-01
#############################################
3.386E-01 ###   EFS 2000000000.0
3.450E-01 ###   config size       255102
3.621E-01 ###   ghost size        3061224
3.750E-01 ###   nl size           25510204
3.992E-01 ###   BP 2000000000.0
4.051E-01 ###   config size       255102
4.106E-01 ###   ghost size        3061224
4.170E-01 ###   nl size           25510204
#############################################
  Potential Load
  Time: 4.232E-01
#############################################
4.497E-01 ###   Potential file: pot/pd.pot
4.701E-01 ###   Loading: pot/pd.pot
1.591E+00 ###   std  configs/ec_4_001.out
1.621E+00 ###   std  configs/ec_8_006.out
1.693E+00 ###   std  configs/config_0007.out
1.727E+00 ###   std  configs/ec_8_001.out
1.765E+00 ###   std  configs/ec_4_006.out
1.790E+00 ###   std  configs/config_0009.out
1.831E+00 ###   std  configs/ec_3_004.out
1.864E+00 ###   std  configs/ec_7_004.out
1.898E+00 ###   std  configs/ec_7_003.out
1.934E+00 ###   std  configs/ec_3_003.out
1.962E+00 ###   std  configs/ec_2_005.out
1.995E+00 ###   std  configs/ec_6_005.out
2.025E+00 ###   std  configs/ec_6_002.out
2.070E+00 ###   std  configs/ec_2_002.out
2.097E+00 ###   std  configs/ec_9_007.out
2.123E+00 ###   std  configs/eos_007.out
2.171E+00 ###   std  configs/ec_1_007.out
2.195E+00 ###   std  configs/ec_5_007.out
2.209E+00 ###   std  configs/ec_7_002.out
2.219E+00 ###   std  configs/ec_3_002.out
2.269E+00 ###   std  configs/ec_3_005.out
2.304E+00 ###   std  configs/ec_7_005.out
2.336E+00 ###   std  configs/config_0008.out
2.357E+00 ###   std  configs/config_0006.out
2.448E+00 ###   std  configs/ec_4_007.out
2.463E+00 ###   std  configs/config_0001.out
2.497E+00 ###   std  configs/ec_8_007.out
2.543E+00 ###   std  configs/eos_006.out
2.590E+00 ###   std  configs/ec_9_001.out
2.631E+00 ###   std  configs/ec_1_006.out
2.657E+00 ###   std  configs/ec_5_006.out
2.690E+00 ###   std  configs/config_0010.out
2.709E+00 ###   std  configs/ec_5_001.out
2.756E+00 ###   std  configs/eos_001.out
2.786E+00 ###   std  configs/ec_9_006.out
2.818E+00 ###   std  configs/ec_1_001.out
2.856E+00 ###   std  configs/ec_6_003.out
2.877E+00 ###   std  configs/ec_2_003.out
2.908E+00 ###   std  configs/ec_2_004.out
2.952E+00 ###   std  configs/ec_6_004.out
3.009E+00 ###   std  configs/ec_5_002.out
3.029E+00 ###   std  configs/eos_002.out
3.064E+00 ###   std  configs/ec_9_005.out
3.097E+00 ###   std  configs/ec_1_002.out
3.110E+00 ###   std  configs/eos_005.out
3.144E+00 ###   std  configs/ec_9_002.out
3.169E+00 ###   std  configs/ec_1_005.out
