#############################################################################
6.118E-03 ###   Mon, 05 Jul 2021 16:21:15 +0000
#############################################################################

####TIME#############LOG#####################################################
1.360E-02 ###   Script: /cloud/Code/python/eampa/eampa.py
1.719E-02 ###   Loaded: input.in
#############################################
  Read Input
  Time: 1.896E-02
#############################################
2.090E-02 ###   e
2.293E-02 ###   a0: 5.0
2.294E-02 ###   b0: 1.0
2.294E-02 ###   bp: 100.0
2.294E-02 ###   config: 0.0001
2.295E-02 ###   e: 1.0
2.295E-02 ###   e0: 25.0
2.295E-02 ###   ec: 1.0
2.295E-02 ###   energy: 20.0
2.295E-02 ###   force: 1.0
2.295E-02 ###   g: 1.0
2.295E-02 ###   negec: 1000.0
2.295E-02 ###   stress: 1.0
2.295E-02 ###   v: 1.0
2.295E-02 ###   
2.495E-02 ###   max: 100.0
2.496E-02 ###   min: 0.1
2.496E-02 ###   scale_exponent: 4.0
2.496E-02 ###   scale_factor: 10.0
2.496E-02 ###   zero_density_factor: 100000000.0
2.496E-02 ###   
2.686E-02 ###   pot_dir: None
2.687E-02 ###   pot_name: None
2.687E-02 ###   results_dir: results
2.687E-02 ###   
2.859E-02 ###   bp_file: bp.dat
2.859E-02 ###   dir: bp
2.860E-02 ###   ec_size: 6
2.860E-02 ###   ec_strain: 0.05
2.860E-02 ###   eos_size: 6
2.860E-02 ###   eos_strain: 0.1
2.860E-02 ###   
3.029E-02 ###   
3.206E-02 ###   1: {'label_id': 1, 'label_text': 'AL', 'atom_count': 32, 'relaxed_energy': -1264.06398979, 'relaxed_energy_unit': 'Ry', 'coh_energy': -3.36, 'coh_energy_unit': 'eV', 'calc_relaxed_dft_ev': -537.454181036, 'calc_coh_ev': -3.36, 'calc_apaev': 534.094181036}
3.207E-02 ###   2: {'label_id': 2, 'label_text': 'FE', 'atom_count': 16, 'relaxed_energy': -5268.188, 'relaxed_energy_unit': 'Ry', 'coh_energy': -4.316, 'coh_energy_unit': 'eV', 'calc_relaxed_dft_ev': -4479.851795407, 'calc_coh_ev': -4.316, 'calc_apaev': 4475.5357954070005}
3.207E-02 ###   3: {'label_id': 3, 'label_text': 'PD', 'atom_count': 32, 'relaxed_energy': -16384.958, 'relaxed_energy_unit': 'Ry', 'coh_energy': -3.91, 'coh_energy_unit': 'eV', 'calc_relaxed_dft_ev': -6966.549363269, 'calc_coh_ev': -3.91, 'calc_apaev': 6962.639363269001}
3.207E-02 ###   
#############################################
  Setup Directories
  Time: 3.394E-02
#############################################
3.565E-02 ###   WD: wd/wd
#############################################
  Memory
  Time: 4.547E-02
#############################################
4.732E-02 ###   EFS 6000000000.0
4.909E-02 ###   config size       765306
5.089E-02 ###   ghost size        9183673
5.259E-02 ###   nl size           76530612
5.438E-02 ###   BP 6000000000.0
5.619E-02 ###   config size       255102
5.794E-02 ###   ghost size        3061224
5.963E-02 ###   nl size           25510204
#############################################
  Potential Load
  Time: 6.136E-02
#############################################
6.358E-02 ###   Potential file: pot/pd.pot
6.527E-02 ###   Loading: pot/pd.pot
6.226E-01 ###   std  configs/0185.dat
6.326E-01 ###   std  configs/0243.dat
6.422E-01 ###   std  configs/0292.dat
6.516E-01 ###   std  configs/0154.dat
6.616E-01 ###   std  configs/0128.dat
6.713E-01 ###   std  configs/input.in
6.761E-01 ###   std  configs/0070.dat
6.856E-01 ###   std  configs/0367.dat
6.962E-01 ###   std  configs/0238.dat
7.059E-01 ###   std  configs/0077.dat
7.156E-01 ###   std  configs/0360.dat
7.258E-01 ###   std  configs/0182.dat
7.353E-01 ###   std  configs/0244.dat
7.465E-01 ###   std  configs/0295.dat
7.562E-01 ###   std  configs/0153.dat
7.656E-01 ###   std  configs/0236.dat
7.758E-01 ###   std  configs/0121.dat
7.851E-01 ###   std  configs/0079.dat
7.957E-01 ###   std  configs/0005.dat
8.053E-01 ###   std  configs/0312.dat
8.151E-01 ###   std  configs/0002.dat
8.249E-01 ###   std  configs/0315.dat
8.348E-01 ###   std  configs/0231.dat
8.451E-01 ###   std  configs/0126.dat
8.614E-01 ###   std  configs/0369.dat
8.720E-01 ###   std  configs/0278.dat
8.852E-01 ###   std  configs/0320.dat
9.052E-01 ###   std  configs/0037.dat
9.215E-01 ###   std  configs/0113.dat
9.352E-01 ###   std  configs/0204.dat
9.503E-01 ###   std  configs/0114.dat
9.650E-01 ###   std  configs/0203.dat
9.789E-01 ###   std  configs/0168.dat
9.937E-01 ###   std  configs/0327.dat
1.006E+00 ###   std  configs/0030.dat
1.016E+00 ###   std  configs/0355.dat
1.025E+00 ###   std  configs/0093.dat
1.035E+00 ###   std  configs/0042.dat
1.046E+00 ###   std  configs/0384.dat
1.056E+00 ###   std  configs/0166.dat
1.065E+00 ###   std  configs/0271.dat
1.076E+00 ###   std  configs/0329.dat
1.085E+00 ###   std  configs/0161.dat
1.096E+00 ###   std  configs/0276.dat
1.106E+00 ###   std  configs/0039.dat
1.116E+00 ###   std  configs/0352.dat
1.126E+00 ###   std  configs/0094.dat
1.136E+00 ###   std  configs/0045.dat
1.146E+00 ###   std  configs/0383.dat
1.155E+00 ###   std  configs/0028.dat
1.166E+00 ###   std  configs/0267.dat
1.176E+00 ###   std  configs/0170.dat
1.187E+00 ###   std  configs/0054.dat
1.198E+00 ###   std  configs/0392.dat
1.209E+00 ###   std  configs/0343.dat
1.219E+00 ###   std  configs/0085.dat
1.231E+00 ###   std  configs/0053.dat
1.241E+00 ###   std  configs/0395.dat
1.251E+00 ###   std  configs/0344.dat
1.262E+00 ###   std  configs/0082.dat
1.272E+00 ###   std  configs/0338.dat
1.282E+00 ###   std  configs/0260.dat
1.292E+00 ###   std  configs/0177.dat
1.302E+00 ###   std  configs/0212.dat
1.313E+00 ###   std  configs/0105.dat
1.324E+00 ###   std  configs/0021.dat
1.334E+00 ###   std  configs/0336.dat
1.345E+00 ###   std  configs/0179.dat
1.356E+00 ###   std  configs/0026.dat
1.366E+00 ###   std  configs/0331.dat
1.377E+00 ###   std  configs/0269.dat
1.387E+00 ###   std  configs/0215.dat
1.398E+00 ###   std  configs/0102.dat
1.408E+00 ###   std  configs/0304.dat
1.419E+00 ###   std  configs/0013.dat
1.432E+00 ###   std  configs/0378.dat
1.444E+00 ###   std  configs/0137.dat
1.454E+00 ###   std  configs/0220.dat
####TIME#############LOG#####################################################
1.466E+00 ###   std  configs/0068.dat
1.476E+00 ###   std  configs/0130.dat
1.486E+00 ###   std  configs/0227.dat
1.498E+00 ###   std  configs/0303.dat
1.511E+00 ###   std  configs/0014.dat
1.524E+00 ###   std  configs/0371.dat
1.534E+00 ###   std  configs/0066.dat
1.546E+00 ###   std  configs/0229.dat
1.556E+00 ###   std  configs/0284.dat
1.566E+00 ###   std  configs/0142.dat
1.576E+00 ###   std  configs/0193.dat
1.587E+00 ###   std  configs/0255.dat
1.598E+00 ###   std  configs/0283.dat
1.609E+00 ###   std  configs/0145.dat
1.619E+00 ###   std  configs/0194.dat
1.630E+00 ###   std  configs/0252.dat
1.641E+00 ###   std  configs/0376.dat
1.651E+00 ###   std  configs/0400.dat
1.662E+00 ###   std  configs/0061.dat
1.671E+00 ###   std  configs/0139.dat
1.681E+00 ###   std  configs/0160.dat
1.691E+00 ###   std  configs/0277.dat
1.702E+00 ###   std  configs/0038.dat
1.714E+00 ###   std  configs/0353.dat
1.725E+00 ###   std  configs/0095.dat
1.736E+00 ###   std  configs/0044.dat
1.747E+00 ###   std  configs/0382.dat
1.758E+00 ###   std  configs/0354.dat
1.768E+00 ###   std  configs/0092.dat
1.778E+00 ###   std  configs/0043.dat
1.788E+00 ###   std  configs/0385.dat
1.799E+00 ###   std  configs/0167.dat
1.809E+00 ###   std  configs/0270.dat
1.819E+00 ###   std  configs/0328.dat
1.830E+00 ###   std  configs/0115.dat
1.841E+00 ###   std  configs/0202.dat
1.851E+00 ###   std  configs/0169.dat
1.862E+00 ###   std  configs/0326.dat
1.873E+00 ###   std  configs/0031.dat
1.883E+00 ###   std  configs/0279.dat
1.894E+00 ###   std  configs/0321.dat
1.904E+00 ###   std  configs/0036.dat
1.915E+00 ###   std  configs/0112.dat
1.925E+00 ###   std  configs/0205.dat
1.935E+00 ###   std  configs/0003.dat
1.948E+00 ###   std  configs/0314.dat
1.959E+00 ###   std  configs/0230.dat
1.969E+00 ###   std  configs/0127.dat
1.980E+00 ###   std  configs/0368.dat
1.991E+00 ###   std  configs/0237.dat
2.001E+00 ###   std  configs/0120.dat
2.013E+00 ###   std  configs/0078.dat
2.023E+00 ###   std  configs/0004.dat
2.034E+00 ###   std  configs/0313.dat
2.045E+00 ###   std  configs/0239.dat
2.055E+00 ###   std  configs/0076.dat
2.066E+00 ###   std  configs/0361.dat
2.077E+00 ###   std  configs/0183.dat
2.087E+00 ###   std  configs/0245.dat
2.098E+00 ###   std  configs/0294.dat
2.109E+00 ###   std  configs/0152.dat
2.122E+00 ###   std  configs/0184.dat
2.135E+00 ###   std  configs/0242.dat
2.146E+00 ###   std  configs/0293.dat
2.157E+00 ###   std  configs/0155.dat
2.168E+00 ###   std  configs/0129.dat
2.178E+00 ###   std  configs/0071.dat
2.189E+00 ###   std  configs/0366.dat
2.199E+00 ###   std  configs/0282.dat
2.210E+00 ###   std  configs/0144.dat
2.220E+00 ###   std  configs/0195.dat
2.231E+00 ###   std  configs/0253.dat
2.241E+00 ###   std  configs/0377.dat
2.251E+00 ###   std  configs/0060.dat
2.262E+00 ###   std  configs/0138.dat
2.273E+00 ###   std  configs/0370.dat
2.283E+00 ###   std  configs/0067.dat
2.294E+00 ###   std  configs/0228.dat
2.304E+00 ###   std  configs/0285.dat
2.314E+00 ###   std  configs/0143.dat
2.325E+00 ###   std  configs/0192.dat
2.336E+00 ###   std  configs/0254.dat
2.348E+00 ###   std  configs/0069.dat
2.358E+00 ###   std  configs/0131.dat
2.372E+00 ###   std  configs/0226.dat
2.382E+00 ###   std  configs/0302.dat
2.392E+00 ###   std  configs/0015.dat
2.403E+00 ###   std  configs/0305.dat
2.413E+00 ###   std  configs/0012.dat
2.424E+00 ###   std  configs/0379.dat
2.435E+00 ###   std  configs/0136.dat
2.446E+00 ###   std  configs/0221.dat
2.458E+00 ###   std  configs/0027.dat
2.469E+00 ###   std  configs/0330.dat
2.480E+00 ###   std  configs/0268.dat
2.490E+00 ###   std  configs/0214.dat
2.500E+00 ###   std  configs/0103.dat
2.511E+00 ###   std  configs/0213.dat
2.521E+00 ###   std  configs/0104.dat
2.532E+00 ###   std  configs/0020.dat
####TIME#############LOG#####################################################
2.545E+00 ###   std  configs/0337.dat
2.556E+00 ###   std  configs/0178.dat
2.566E+00 ###   std  configs/0052.dat
2.576E+00 ###   std  configs/0394.dat
2.586E+00 ###   std  configs/0345.dat
2.598E+00 ###   std  configs/0083.dat
2.608E+00 ###   std  configs/0339.dat
2.619E+00 ###   std  configs/0261.dat
2.630E+00 ###   std  configs/0176.dat
2.640E+00 ###   std  configs/0029.dat
2.653E+00 ###   std  configs/0266.dat
2.664E+00 ###   std  configs/0171.dat
2.678E+00 ###   std  configs/0055.dat
2.689E+00 ###   std  configs/0393.dat
2.700E+00 ###   std  configs/0342.dat
2.714E+00 ###   std  configs/0084.dat
2.727E+00 ###   std  configs/0373.dat
2.741E+00 ###   std  configs/0064.dat
2.753E+00 ###   std  configs/0018.dat
2.764E+00 ###   std  configs/0140.dat
2.778E+00 ###   std  configs/0286.dat
2.794E+00 ###   std  configs/0257.dat
2.806E+00 ###   std  configs/0191.dat
2.818E+00 ###   std  configs/0308.dat
2.829E+00 ###   std  configs/0147.dat
2.839E+00 ###   std  configs/0281.dat
2.849E+00 ###   std  configs/0250.dat
2.860E+00 ###   std  configs/0196.dat
2.870E+00 ###   std  configs/0374.dat
2.881E+00 ###   std  configs/0063.dat
2.892E+00 ###   std  configs/0306.dat
2.902E+00 ###   std  configs/0011.dat
2.912E+00 ###   std  configs/0149.dat
2.923E+00 ###   std  configs/0198.dat
2.933E+00 ###   std  configs/0135.dat
2.945E+00 ###   std  configs/0222.dat
2.959E+00 ###   std  configs/0132.dat
2.969E+00 ###   std  configs/0225.dat
2.979E+00 ###   std  configs/0301.dat
2.990E+00 ###   std  configs/0016.dat
3.000E+00 ###   std  configs/0288.dat
3.010E+00 ###   std  configs/0259.dat
3.020E+00 ###   std  configs/0399.dat
3.031E+00 ###   std  configs/0348.dat
3.042E+00 ###   std  configs/0210.dat
3.052E+00 ###   std  configs/0107.dat
3.063E+00 ###   std  configs/0023.dat
3.073E+00 ###   std  configs/0334.dat
3.084E+00 ###   std  configs/0024.dat
3.094E+00 ###   std  configs/0333.dat
3.104E+00 ###   std  configs/0058.dat
3.115E+00 ###   std  configs/0089.dat
3.125E+00 ###   std  configs/0217.dat
3.135E+00 ###   std  configs/0100.dat
3.146E+00 ###   std  configs/0265.dat
3.156E+00 ###   std  configs/0172.dat
3.169E+00 ###   std  configs/0390.dat
3.180E+00 ###   std  configs/0056.dat
3.191E+00 ###   std  configs/0087.dat
3.201E+00 ###   std  configs/0341.dat
3.211E+00 ###   std  configs/0219.dat
3.222E+00 ###   std  configs/0397.dat
3.233E+00 ###   std  configs/0051.dat
3.243E+00 ###   std  configs/0080.dat
3.257E+00 ###   std  configs/0346.dat
3.272E+00 ###   std  configs/0109.dat
3.286E+00 ###   std  configs/0262.dat
